,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis
0,257.0,-66.15175097276264,46.29242487100609,-187.0,-96.0,-65.0,-35.0,65.0,2142.988600437743,0.008214812386403546,-0.24325399232387168
1,257.0,-48.478599221789885,48.48961439607615,-170.0,-84.0,-50.0,-17.0,106.0,2351.2427042801555,0.3315030368323472,0.3839592051898064
2,257.0,-53.525291828793776,47.098968506615506,-187.0,-89.0,-51.0,-17.0,36.0,2218.3128343871595,-0.17634420563822825,-0.6448027783377026
3,257.0,-55.463035019455255,43.10334142865464,-195.0,-80.0,-48.0,-23.0,26.0,1857.898042315175,-0.7857332127285256,0.563768158964931
4,257.0,-53.10505836575876,43.28377309541633,-175.0,-87.0,-55.0,-22.0,76.0,1873.4850133754865,0.2630051821578316,-0.13515433466315718
5,257.0,-46.568093385214006,47.25715299551217,-175.0,-80.0,-43.0,-16.0,80.0,2233.238509241245,0.038020445081102576,-0.15291889562309446
6,257.0,-57.69260700389105,49.59219302665095,-193.0,-87.0,-57.0,-29.0,129.0,2459.3856091926073,0.4688942380231028,1.5469696598154465
7,257.0,-48.70038910505836,43.90499019371837,-150.0,-81.0,-46.0,-16.0,61.0,1927.648163910506,-0.09801579345937961,-0.5949194340364254
8,257.0,-45.249027237354085,56.500624383192985,-189.0,-84.0,-37.0,-6.0,90.0,3192.3205556906614,-0.154387307758029,-0.2231909729416368
9,257.0,-44.69260700389105,47.001608846853394,-201.0,-71.0,-45.0,-16.0,78.0,2209.1512341926073,-0.3457400116824957,0.8158421616005671
10,257.0,-57.68093385214008,50.799922973608076,-179.0,-86.0,-59.0,-35.0,169.0,2580.6321741245138,0.9367404350718698,3.1057248517081995
11,257.0,-58.01556420233463,48.81045681315981,-254.0,-83.0,-51.0,-22.0,31.0,2382.4606943093386,-1.0792944512339375,2.013446689535053
12,257.0,-48.21400778210117,48.44234772402721,-167.0,-84.0,-43.0,-18.0,84.0,2346.661053015564,0.06977826150651437,0.099144166454193
13,257.0,-44.8715953307393,45.908484146022545,-147.0,-77.0,-50.0,-18.0,86.0,2107.5889165856033,0.5363648012980483,0.10325112540940085
14,257.0,-58.2568093385214,55.159960943989184,-242.0,-89.0,-56.0,-19.0,85.0,3042.6212913424124,-0.536798785707112,0.6484377043791731
15,257.0,-48.540856031128406,53.37835985515898,-220.0,-76.0,-39.0,-13.0,58.0,2849.249300826848,-0.8229052979976356,0.6272753751017812
